a.d.	(缩)公元
augmentation	n. 增加
aureole	n. 日冕，光轮
auricular	adj. 耳的
aurora	n. 极光(南北极夜晚所放彩光)
auspice	n. 预兆，吉兆；赞助，支持
automation	n. 自动装置
avocation	n. 副业；嗜好
avowal	n. 声明
avuncular	adj. 伯(叔)父的
azure	n. 天蓝色；adj. 蔚蓝的
bacchanal	n. (行为放纵的)狂欢会
backslide	v. 故态复萌
backwater	n. 死水；闭塞地区
baffle	v. 使困惑，难倒
balky	adj. 停止不前的；倔强的
bamboozle	v. 欺骗，隐瞒
bandy	v. 来回抛球；轻率谈论
baron	n. 贵族; 巨头
barrister	n. 讼务；律师
bassoon	n. 低音管，巴松管
bather	n. 入浴者，浴疗者
bauble	n. 花哨的小玩意儿；没价值的东西
bawl	v. 大叫，大喊
beatific	adj. 祝福的，快乐的
beckon	v. 召唤某人，示意
bedizen	v. 把…装饰得艳丽而俗气
bedraggled	adj. (衣服、头发等)弄湿的；凌乱不堪的
beet	n. 甜菜
befuddle	v. 使迷惑，使为难；使酒醉昏迷
beget	v. 产生，引起
beguile	v. 欺骗，诱骗
behold	v. 目睹，看见
beholden	adj. 感激某人的；欠人情的
belch	n.v. 打嗝；(火山)喷出
belongings	n. 所有物，财产
bemused	adj. 茫然的，困惑的
bereave	v. 丧亲，夺去
berserk	adj. 狂怒的，疯狂的
beseech	v. 祈求，恳求
bespeak	v. 显示，表示; 预定
betoken	v. 预示，表示
bibulous	adj. 高度吸收的; 嗜酒的
biennial	adj. 两年一次的
bilious	adj. 胆汁质的；坏脾气的
billow	n. 巨浪; v. 翻腾
blackball	v. 投反对票以阻止
blackmail	v.n. 敲诈，勒索
blare	v. 高声鸣叫
blasé	adj. 厌倦享乐的，冷漠的
bleachers	n. (球场的)露天座位
blinds	n. 百页窗
bloated	adj. 肿胀的; 傲慢的
blossom	n. 花；v. (树木)开花
bludgeon	n. 大头棒；v. 用棒打击
bluff	n. 虚张声势; 悬崖峭壁
bode	v. 预示
boding	n. 凶兆，前兆，预感；adj. 凶兆的
bohemian	adj.n. 放荡不羁的(人)
bombardment	n. 炮炸，炮轰
bonhomie	n. 好性情，温和，和蔼
boo	v. 作嘘声，嘘（某人）用嘘声表示不满、蔑视或反对
botch	v. 笨手笨脚地)弄坏某事
bottleneck	n. 瓶颈口，(喻)交通易阻塞的狭口; 妨碍生产流程的一环
bough	n. 粗大的树枝或树干
bounteous	adj. 慷慨的; 丰富的
bovine	adj. (似)牛的; 迟钝的
bowdlerize	v. 删除，删改
bower	n.凉亭，树荫下凉快之处
brackish	adj. (指水)略咸的；不好吃的
brattish	adj. (指小孩)讨厌的，宠坏的，不礼貌的
brawny	adj. (人)强壮的
bray	v. 大声而刺耳地发出（叫唤或声音）
breezeway	n. 有屋顶的通路
brim	n. (杯)边，缘；v. 盈满
brindled	adj. 有棕色斑纹的
brocade	n. 织锦
broil	v. 烧烤
brooch	n. 胸针
browse	v. 吃嫩叶或草；浏览；n. 嫩叶；嫩芽
bubble	v. 起泡；n. 气泡，水泡
buckle	n. 皮带扣环；v. 扣紧
buffer	v. 缓冲，为…冲当缓冲器
bugaboo	n. 吓人的东西；妖怪
buggy	n. 轻型马车；婴儿车
bullion	n. 金条，银条
bumble	v. 说话含糊；拙劣地做
bump	v. 碰撞；n. 碰撞声
burrow	v. 挖掘，钻进，翻寻；n. 地洞
buxom	adj. 体态丰满的
cachet	n. 赞同的标志，优越的标志；印章；胶囊
cactus	n. 仙人掌
cadaver	n. 尸体
cadence	n. 抑扬顿挫；节奏，韵律
calibre	n. (枪等)口径；(人或事)品德，才能
callus	n. 老茧，胼胝
canard	n. 谣言，假新闻
canker	n. 溃疡病；祸害
cantata	n. 清唱剧，大合唱
capacious	adj. 容量大的，宽敞的
caper	v.n. 雀跃，欢蹦
capitalize	v. 资本化，获利，利用
capitation	n. 人头税
capsize	v. 使船翻；倾覆
carat	n. (宝石重量单位)克拉；(金子)开
careen	v. (船)倾斜；使倾斜
carillon	n. 编钟，钟琴
carnage	n. 大屠杀，残杀
carpentry	n. 木工工作
cascade	n. 小瀑布
catapult	n. 弹弓；弹射器
cautionary	adj. 劝人谨慎的，警戒的
cavalcade	n. 骑兵队伍
celerity	n. 快速，迅速
celibate	n. 独身者；adj. 不结婚的
cemetery	n. 坟墓，公墓
centrifugal	adj. 离心的
centripetal	adj. 向心的
cephalic	adj. 头的，头部的
chasten	v. (通过惩罚而使坏习惯等)改正；磨炼
chauvinism	n. 沙文主义，盲目爱国主义
checkered	adj. 盛衰无常的
cheetah	n. 猎豹
chic	adj. 漂亮的，时髦的
chirp	v. (鸟或虫)唧唧叫
chivalry	n. 骑士制度；骑士精神
chore	n. 家务琐事；讨厌的工作
chortle	v.n. 开心地笑
chunk	n. 短厚块状物；大量
ciliate	adj. 有纤毛的；有睫毛的
cineaste	n. 影迷，热衷于电影的人
circumlocutory	adj. 委婉曲折的，迂回的
citation	n. 引证，引用文，传票
clairvoyant	adj. 透视的，有洞察力的
clench	v. 握紧；咬紧(牙关等)
cliché	adj. 陈腐的
closed-minded	adj. 倔强的，顽固的
closure	n. 关闭；终止
cloy	v. (吃甜食)生腻，吃腻
coffer	n. 保险柜
cognate	adj. 同词源的；同类的
cognomen	n. 姓
colloquy	n. (非正式的)交谈，会谈
colt	n. 小雄驹
comestible	n. 食物，食品；adj. 可吃的
commiserate	v. 同情，怜悯
complexion	n. 肤色；外表特征
complicity	n. 合谋，串通
comport	v. 举止(以一种特殊方式表现)
compulsory	adj. 强制性的，命令性的
concentric	adj. (指数个圆)有同一中心的
concoct	v. 调制；捏造
condign	adj. 罪有应得的；适宜的
condiment	n. 调味品，佐料
condole	v. 向…吊慰
condor	n. 秃鹰；神鹰
confidant	n. 心腹朋友，知己
congenital	adj. (病等)先天的，天生的
conjugal	adj. 婚姻的，夫妻之间的
connubial	adj. 婚姻的，夫妻的
consecrate	v. 把…奉献
consonance	n. 一致，调和；和音
consort	v. 结交，配对；n. 配偶
conspectus	n. 概要，大纲
constringe	v. 使收缩，使收敛，压缩
contumacy	n. 抗命，不服从
contumely	n. 无礼，傲慢
convene	v. 集合；召集
convoy	v. 护航，护送
cordial	adj. 热诚的；n. 兴奋剂
cornet	n. 短号；圆锥形蛋卷
cornice	n. 檐口装饰线(在房柱顶端的突出装饰线)
corny	adj. 平淡无奇的；乡巴佬的
corporal	adj. 肉体的，身体的
corpulent	adj. 肥胖的
corpus	n. 全集，全部资料
coruscate	v. 闪亮
cosy(cozy)	adj. 温暖而舒适的
counterpoise	n.v. 平均，平衡
coven	n. (尤指十三个)女巫的集会
crafty	adj. 狡诈的；熟练的
crag	n. 悬崖，峭壁
credo	n. 信条
crepuscular	adj. 朦胧的，微明的
crevice	n. 缺口，裂缝
crinkle	v. (使)变皱；n. 皱纹
cripple	n. 跛子；v. (使)残废
croon	v. 低声歌唱
crotchety	adj. 脾气坏的
crypt	n. 地下室，地窖
cuddle	n.v. 搂抱，拥抱
cuff	n. 袖口；v. 上手铐
culprit	n. 犯罪者
cumber	v. 拖累，妨碍
curd	n. 凝乳
curfew	n. 宵禁
currish	adj. 下贱的；杂种的
cursive	adj. 草书的
curvaceous	adj. 婀娜多姿的；曲线的
cygnet	n. 小天鹅
cynosure	n. 注意的焦点
dabbler	n. 涉猎者，浅尝辙止者
dalliance	n. 虚度光阴；调情
damn	v. 严厉地批评，谴责；adj. 该死的
damper	n. 起抑制作用的因素；节气闸，断音装置
dangle	v. 悬荡；吊胃口
dank	adj. 阴湿的，阴冷的
dastard	n. 懦夫，胆小的人
daub	v. 涂抹；乱画
daubster	n. 拙劣的画家
daze	v. 使茫然，使眩晕
debar	v. 阻止
debility	n. 衰弱，虚弱
debonair	adj. 迷人的；友好的
decamp	v. (士兵)离营；匆忙秘密地离开
decant	v. 轻轻倒出
decentralize	v.分散，权力下放
declassify	v. 撤消保密
declination	n. 倾斜；衰微
decoy	v. 诱骗
decree	n. 命令，法令；v. 颁布命令
defalcate	v. 盗用公款
defame	v. 诽谤，中伤
defoliant	n. 脱叶剂，落叶剂
defoliate	v. (使)落叶
deforest	v. 采伐森林，清除树林
defray	v. 付款
defunct	adj. 死亡的
delectation	n. 享受，愉快
demarcate	v. 划分，划界
demeanour	n. 举止，行为
demented	adj. 疯狂的
demure	adj. 严肃的，矜持的
denominate	v. 命名，取名
denunciate	v. 公开指责，公然抨击，谴责
deportment	n. (尤指少女的)风度，举止
deposit	v. 存放；使淤积
depredation	n. 劫掠，蹂躏
depressant	adj. 有镇静作用的；n. 镇静剂
depute	v. 派…为代表或代理
deputize	v. 代替某人行事或说话
derangement	n. 精神错乱
desalinize	v. 除去盐分
desideratum	n. 必需品
designate	v. 指明，指出；任命，指派；adj. (官职)已任命但还未就职的
desirous	adj. 渴望的
desolate	adj. 荒凉的，被遗弃的
desperado	n. 亡命之徒
despoil	v. 夺取，抢夺
destitute	adj. 贫乏的；穷困的
destructible	adj. 可破坏的
desuetude	n. 废止，不用
detestable	adj. 嫌恶的，可憎的，可厌恶的
detonate	v. (使)爆炸，引爆
detract	v. 减去，贬低；转移
devolve	v. (指工作、职务)移交给某人
diabolic	adj. 恶魔(一样)的；魔鬼性格的
dictator	n. 独裁者
dictum	n. 格言，声明
dietetics	n. 饮食学，营养学
dignitary	n. 显要人物
dilapidation	n. 破旧，荒废
diminuendo	n. (音乐、演奏)渐弱
diocesan	adj. 主教管区的
dipsomania	n. 嗜酒症
disavow	v. 否认，否定，抵赖
disband	v. 解散(团体)
disclaimer	n. 否认，拒绝
disembody	v. 使脱离实体，使脱离现实
disfranchise	v. 剥夺…的权利(尤指选举权或公民权)
dishearten	v. 使…灰心
dishevel	v. 使蓬乱，使头发凌乱
disheveled	adj. (指毛发或衣服)凌乱的
disintegrate	v. (使)分裂成小片，(使)瓦解
disport	v. 玩耍，嬉戏
disquisition	n. 长篇演讲，专题论文
dissection	n. 解剖，剖析
dissociate	v. 分离，游离，分裂
distain	v. 贬损，伤害名誉
distal	adj. 远离中心的，(神经)末梢的
distention	n. 膨胀
distrait	adj. 心不在焉的
ditch	n. 沟，沟渠，壕沟
divagate	v. 离题；飘泊
dock	v. 剪短；扣除…的一部分工资
doggo	adv. (俚)(一动不动地)隐藏着
dotage	n. 老年糊涂；溺爱
double-cross	v. 欺骗，叛卖
dowdy	adj. 不整洁的，过旧的
dowry	n. 嫁妆，妆奁
doze	v. 瞌睡，假寐
dribble	v. (液体)往下滴、淌
drollery	n. 笑谈，滑稽
ductile	adj. 易拉长的，易变形的；可塑的
dulcet	adj. 美妙的
dullard	n. 愚人，笨蛋
dumbfound	v. 使…惊讶发愣
dunce	n. 笨人
eaglet	n. 小鹰
earthshaking	adj. 极其重大或重要的
ecdysis	n. (动物)蜕皮；换羽毛
éclat	n. 辉煌成就
eclogue	n. 田园诗，牧歌
ecumenical	adj. 世界范围的
edict	n. 法令；命令
eerie	adj. 可怕的，阴森恐怖的
effeminate	adj. 缺乏勇气的，柔弱的
effigy	n. 模拟像
egoism	n. 利己主义
ejaculate	v. 突然叫出或说出；射出
electorate	n. 选民，选区；有选举权者
elixir	n. 万灵药，长生不老药
emasculate	v. 削弱；阉割；adj. 柔弱的
embankment	n. 堤岸，路基
embitter	v. 使痛苦，使难受
emblazon	v. 以纹章或其他方式装饰
embodiment	n. 化身，体现
embroil	v. 牵连，卷入纠纷
embryonic	adj. 胚胎的；萌芽期的
emerald	n. 翡翠；adj. 翠绿色的
emolument	n. 报酬，薪水
empyrean	n. 天空，天神居处
encipher	v. 译成密码
encyclopedic	adj. 广博的，知识渊博的
endue	(with) v. 赋予(才能)
engrossment	n. 正式缮写的文件；专注
ennoble	v. 授予爵位，使高贵
enshrine	v. 奉为神圣
enslave	v. 奴役
ensnare	v. 诱入陷阱，进入罗网
enthrall	v. 迷惑，迷住
entourage	n. 随从；环境
entrench	v. 挖壕沟；确立
entwine	v. 使缠绕，交织
environs	n. 郊外，郊区
envisage	v. 正视；想像
epicurean	adj. 好享乐的；享乐主义的
episode	n. 一段情节
equestrian	n. 骑师；adj. 骑马的
escort	v. 护送；n. 护送者
estrange	v. 使疏远
estuary	n. 河口，三角湾
eugenic	adj. 优生(学)的
even-tempered	adj. 性情平和的；不易生气的
everlasting	adj. 永恒的，持久的，无止境的，耐用的
eviscerate	v. 取出肠及内脏
exceptionable	adj. 引起反感的
excerpt	n. 摘录，选录，节录
exchequer	n. 国库；财源
excogitate	v. 认真想出
excruciate	v. 施酷刑，拷问，折磨
execration	n. 憎恨，厌恶
exhume	v. 掘出，发掘
exiguous	adj. 太少的，不足的
expatiate	v. 细说，详述
expatriate	v. 驱逐出国；脱离国籍
expiation	n. 赎罪，补偿
explicable	adj. 可解释的
expropriate	v. 充公；没收
expulsion	n. 驱逐，开除
extradite	v. 引渡回国，拿获归案
extrinsic	adj. 外来的，外在的，外部的
extrude	v. 挤出，逐出；突出
exultant	adj. 非常高兴的，欢跃的
fabulous	adj. 难以置信的；寓言里的
facsimile	n. 复制本，摹本
factitious	adj. 人为的，不真实的
fag	v. 苦干；n. 苦工
fail-safe	n. 自动防故障装置
fainthearted	adj. 懦弱的，无精神的；胆小的
fake	v. 伪造；佯装
falsify	v. 篡改；说谎
fanfare	n. 夸耀性游行；嘹亮的喇叭声
fantasia	n. 幻想曲；组合乐曲
farrow	v. (母猪)生产；n. 一窝小猪
fascia	n. 饰带；(商店上挂的)招牌
fascinate	v. 迷惑，迷住
fealty	n. 效忠
febrile	adj. 发烧的，热病的
fecund	adj. 肥沃的；多产的
feisty	adj. 活跃的；易怒的
felicitate	v. 祝贺，庆祝
feline	adj. 猫科的
fencing	n. 剑术，击剑法
ferocious	adj. 凶猛的，残暴的
ferry	n. 渡船，渡口；v. 运送
festal	adj. 节日的；欢乐的
fetish	n. (崇拜的)神物，偶像
fiend	n. 恶魔；魔鬼
filament	n. 灯丝；细丝
filch	v. 偷(不贵重的东西)
filial	adj. 子女的
fillet	n. 束发带；鱼肉片
finable	adj. 应罚款的
finery	n. 华丽、优雅的服装或装饰
firebrand	n. 燃烧的木块；引起(社会或政治的)动乱的人
fishery	n. 渔场；渔业
fissile	adj. 易分裂的
fitful	adj. 一阵阵的；不安的
flabby	adj. (肌肉)松软的；意志薄弱的
flagellate	v. 鞭打，鞭笞
flair	n. 天赋，本领，才华
flannel	n. 法兰绒(一种布)
flatulence	n. 肠胃气胀
flavoring	n. 香料，调味品
flay	v. 剥皮；诈取；严厉指责
fleck	n. 斑点；微粒
fleece	n. 生羊皮，羊毛；v. 骗取
fleet	adj. 快速的；v. 消磨，疾驰；飞逝，掠过
flick	v.n. 轻打，轻弹
flicker	v. 闪烁，摇曳
floppy	adj. 松软的；衰弱的
florescence	n. 繁花时期
flunk	v. 考试不及格
fodder	n. 草料
fondle	v. 抚弄，抚摸
foothold	n. 立足点，根据地
footle	v. 胡闹；浪费(时间)
fop	n. (喜好精致服装的)花花公子
foray	n.v. 突袭，偷袭
forebear	n. 祖宗，祖先
foreclose	v. 排除；取消抵押品的赎回权
forensic	adj. 法庭的，辩论的
foreword	n. 前言，序
forfeiture	n. (名誉等)丧失
forlorn	adj. 孤独的；凄凉的
formative	adj. 形成的，影响发展的
forswear	v. 誓绝，放弃
fort	n. 要塞，城堡
fractional	adj. 微小的，极小的
fraternal	adj. 兄弟的；友善的
fraternity	n. 同类人；友爱
fray	n. 吵架，打斗；v. 磨破
freak	n. 怪物，奇事；adj. 反常的
fretwork	n. 格子细工(在木头上雕出各种图案，格子的工艺)
frisk	v.n. 欢跃；娱乐
fritter	v. (在无意义上的小事上)愚蠢地浪费(时间和金钱)；切碎
frolic	v.n. 嬉戏；雀跃
frolicsome	adj. 快活的，欢乐的
frowzy	adj. 不整洁的，污秽的
fructify	v. 结果实；成功
funereal	adj. 适于葬礼的；忧郁的
furbish	v. 磨光，刷新
fury	n. 狂怒，狂暴，激烈；狂怒的人；(希神)复仇女神
fustian	n. 空洞的话，无意义的高调
gab	n. 饶舌，爱说话；v. 空谈，瞎扯；闲逛，游荡
gabble	v. 急促而不清楚地说
gaiety	n. 欢乐，快活
gale	n. 狂风
gallop	v.n. (马)飞奔；疾驰
gallows	n. 绞刑架，绞台
gamut	n. 全音阶；(一领域的)全部知识
gander	n. 雄鹅；笨人；v. 闲逛
gangling	adj. 瘦长得难看的
gangly	adj. 身材瘦长的
gangrene	n. 坏疽
garland	n. (作为胜利标志的)花环，奖品
garret	n. 阁楼，顶楼小室
gastric	adj. 胃的，胃部的
gastritis	n. 胃炎
gastronomy	n. 美食法
gauche	adj. 笨拙的，不会社交的
gaunt	adj. 憔悴的，瘦削的
genuflect	v. 曲膝半跪(以示敬意)；屈从
gestate	v. 怀孕，孕育
gesticulate	v. 做手势表达
ghastly	adj. 可怕的，惊人的，惨白的
girdle	n. 腰带；转绕物；v. 环绕
glamorous	adj. 迷人的，富有魅力的
gleam	n. 亮光，闪光；v. 发闪光
glee	n. 欢喜，高兴
glimpse	n.v. 瞥见，看一眼
glitter	v. 闪烁，闪耀；n. 灿烂的光华；诱惑力，魅力
gloaming	n. 黄昏，薄暮
glorify	v. 吹捧，美化
gloss-over	v. 潦草地或敷衍地处理某事
gnat	n. 对小事斤斤计较，琐事
gnawing	adj. 痛苦的，折磨人的
gnome	n. 地下宝藏的守护神，地精；格言
gnomic	adj. 格言的，精辟的
goggle	n. 护目镜；v. 睁眼看
gorgeous	adj. 美丽的；极好的
gormandize	v. 拼命吃，贪吃
gosling	n. 小鹅；年轻无知的人
governance	n. 统治，支配
granary	n. 谷仓，粮仓
granule	n. 小粒，微粒
gratis	adj. 不付款的，免费的
greenhorn	n. 初学者；容易受骗的人
gridiron	n. 烤架；橄榄球场
grotesque	adj. (外形或方式)怪诞的，古怪的
growl	v. (动物)咆哮，吼叫
grudge	v. 吝啬；不满
gruesome	adj. 令人毛骨悚然的，恶心的
gruff	adj. (指人、声音)粗野的
grumpy	adj. 脾气暴躁的
gulch	n. 深谷，峡谷
gull	n. 海鸥；易上当的人；v. 欺骗
gusto	n. 爱好；兴致勃勃
gutless	adj. 没有勇气的，懦怯的
guttle	v. 狼吞虎咽
gynaecocracy	n. 妇女当政
habitable	adj. 可居住的
haft	n. 柄，把柄
haggard	adj. 憔悴的，消瘦的
haggle	v. 讨价还价
hamstring	v. 切断腿筋使成跛腿，使残废
hardbitten	adj. 不屈的，顽强的
hardihood	n. 大胆，鲁莽
harpoon	n. (捕鲸的)鱼叉
hassle	n. 激烈的辩论
hatchet	n. 短柄小斧
hawker	n. 沿街叫卖之小贩
hawser	n. 粗绳，大钢索
hearsay	n. 谣传，道听途说
heave	v. 用力举
hedgehog	n. 刺猬
hedonic	adj. 享乐的；n. 享乐主义学说
hedonism	n. 享乐主义；享乐
heliotrope	n. 向阳植物
helm	n. 舵，驾驶盘
helot	n. 奴隶；受人轻视之人
helve	n. 斧柄
henpecked	adj. 顺从妻子的，惧内的
hepatitis	n. 肝炎
herald	n. 传令官；预示，先驱
herdsman	n. 牧人
heyday	n. 全盛时期，青春期
hilt	n. (剑或刀之)柄
hinterland	n. 内地；穷乡僻壤
hippopotamus	n. 河马
hoarse	adj. 嘶哑的，粗哑的
hobble	v. 蹒跚；跛行
holocaust	n. 大屠杀，浩劫
holograph	n. 亲笔信
homely	adj. 朴素的；不漂亮的
homily	n. 说教，训诫
homograph	n. 同形异义字
horology	n. 测时法；钟表制造术
horrendous	adj. 可怕的，令人惊惧的
howler	n. 嚎叫的人或动物；滑稽可笑的错误
hubbub	n. 嘈杂，喧哗
huddle	v. 挤成一堆；n. 一堆人(杂物)
hunk	n. 大块(食物)
hut	n. 简陋的房子，棚
hygiene	n. 卫生学；卫生
hypodermic	adj. 皮下注射的
icing	n. 糖衣，糖霜
idol	n. 神像；偶像
idolatrize	v. 奉为偶像，盲目崇拜
idolize	v. 将…当作偶像崇拜；极度喜爱或仰慕
illegible	adj. 难读的，难认的
illiberal	adj. 气量狭窄的
illustrious	adj. 著名的，显赫的
imbecile	n. 心智能力极低的人
immortal	adj. 不朽的，流芳百世的
impend	v. 进行威胁；即将发生
imperil	v. 使陷于危险中，危及
imprecation	n. 祈求，诅咒
imputation	n. 归咎，归罪
impute	v. 归咎于
incertitude	n. 疑惑，不确定
incisor	n. 门牙
incongruent	adj. 不协调的，不和谐的，不合适的
incorporeal	adj. 无实体的，非物质的，灵魂的
incrustation	n. 硬壳，外层
indite	v. 写，赋(诗文)
inebriate	v. 使…醉；n. 酒鬼，酒徒
ineffaceable	adj. 抹不掉的
ineligible	adj. 没有资格的
inexpedient	adj. 不适当的，不明智的
inexpiable	adj. 不能补偿的
infatuate	v. 使迷恋；使糊涂
infatuated	adj. 迷恋(人)的
infernal	adj. 地狱的；可恶的
infliction	n. (强加于人身的)痛苦，刑罚
informer	n. 告发者，告密者
ingress	n. 进入
insane	adj. 疯狂的
insanity	n. 疯狂；愚昧
inscription	n. 铭刻；题献
insolate	v. 使曝晒
insouciance	n. 漠不关心，漫不经心
installment	n. 分期付款
insuperable	adj. 难以克服的
interdisciplinary	adj. 跨学科的
interlace	v. 编织；交错
interlocutor	n. 对话者，谈话者
interlope	v. (为图私利)干涉他人之事；闯入
interloper	n. 闯入者
interstice	n. 细裂缝，空隙
interweave	v. 交织，编结
intestate	adj. 未留遗嘱的
intestine	n. 肠；adj. 内部的
intumescence	n. 肿大，肿胀
investiture	n. (宗教)任职仪式，授权仪式
invigilate	v. 监考
invoice	n. 发票，发货清单；v. 给开发票
iridescence	n. 彩虹色
irradiate	v. 使明亮，生辉
iterate	v. 重做，反复重申
jamboree	n. 快乐、喧闹的集会
jape	v. 开玩笑或讽刺
jesting	adj. 滑稽的；爱开玩笑的
jitter	v. 紧张不安，神经过敏
jolly	adj. 欢乐的，快乐的
jubilant	adj. 喜悦的，欢呼的
juncture	n. 危机关头；结合处
jurisprudence	n. 法律学，法学
kaleidoscopic	adj. 千变万化的
kiosk	n. 售货亭；电话亭
knoll	n. 小山；小圆丘
laceration	n. 撕裂；裂口
lackey	n. 卑躬屈膝者，走卒
laggard	adj. 缓慢的；落后的；n. 落后者
lagoon	n. 泻湖
lamentable	adj. 令人惋惜的，悔恨的
laminate	v. 切成薄板(片)
lapidary	n. 宝石工，宝石专家
latch	n. 门闩；v. 用门闩闩牢
layman	n. 普通信徒(有别于神职人员)；门外汉
layover	n. 旅途中的短暂停留
lean	v. 倾斜；斜靠；adj. 瘦骨嶙峋
leash	n. (系狗的)绳子
leeward	adj. 顺风的
leeway	n. (可供活动的)余地
legible	adj. 易读的
lesion	n. 伤口；损害
lexical	adj. 词汇的；词典的
lexicon	n. 词典
libelous	adj. 诽谤的
libido	n. 性欲；生命力
licit	adj. 不禁止的，合法的
ligature	n. 绑缚之物(尤指系住血管以免失血的线)
limbo	n. 不稳定，中间状态
lineal	adj. 直系的，嫡系的
lineaments	n. (面部等的)特征；轮廓
lingual	adj. 舌的；语言的
littoral	adj. 海岸的；n. 海滨，沿海地区
livid	adj. (伤)青灰色的；(脸色)苍白的)；狂怒的
loam	n. 沃土(a rich soil)
locust	n. 蝗虫；贪吃的人
locution	n. 语言风格；惯用语
loft	n. 阁楼，顶楼
logjam	n. 浮木阻塞；阻塞状态；僵局
loiter	v. 游荡；徘徊
lore	n. 知识；传说
lout	n. 粗人
lowbred	adj. 粗野的，鲁莽的
lubricious	adj. 光滑的；好色的
lucre	n. (贬义)钱，利益
lucubrate	v. 刻苦攻读，埋头苦干
lure	n. 诱惑力；v. 引诱
luscious	adj. 美味的；肉感的
lusty	adj. 精力充沛的
lynch	v. 私刑处死
mackintosh	n. 雨衣；防水胶布
maculate	adj. 有斑点的
maestro	n. 艺术大师；音乐大师
magniloquent	adj. 夸张的
maim	v. 使残废
makeshift	n.adj. 代用品(的)；权宜之计(的)
malediction	n. 诅咒
malefactor	n. 罪犯，作恶者
maleficent	adj. 有害的，犯罪的
malice	n. 恶意, 怨恨
malignant	adj. 恶毒的，充满恨意的
mallet	n. 木槌，大头锤
malodor	n. 恶臭
manacle	n. 手铐
maneuver	v.n. (军队)调遣；策略，操纵
mangy	adj. (兽)疥癣的；污秽的
maraud	v. 抢劫，掠夺
mariner	n. 水手，海员
marrow	n. 骨髓；精华
matador	n. 斗牛士
matriarchy	n. 母权制；妇女统治
matriculate	v. 录取
maxim	n. 格言，普遍真理
mayhem	n. 严重伤害罪
medicate	v. 用药医治，加入药物
megalomania	n. 自大狂
memento	n. 纪念品
menial	adj. 仆人的，卑微的；n. 家仆
mermaid	n. 美人鱼
mesmerism	n. 催眠术，催眠状态
mesmerize	v. 对…催眠；迷住
metallurgy	n. 冶金
miasma	n. 瘴气；不健康的环境或影响
midget	n. 侏儒
mien	n. 风采，态度
militant	adj. 好战的，好暴力的
millennium	n. 一千年；(未来的)太平盛世
miraculous	adj. 奇迹的，不可思议的
miscellany	n. 混合物
misogamy	n. [心]厌婚症
missive	n. 信件；(尤)公函
mistimed	adj. 不合时机的
mistral	n. 寒冷干燥的强风
molest	v. 骚扰，干扰
monastery	n. 男修道院，僧院
monograph	n. 专题论文
monopolize	v. 垄断，独占
monotone	adj. 单调的
monstrous	adj. 巨大的；可怕的
moody	adj. 喜怒无常的，脾气坏的
moor	n. 旷野地，荒野；v. 使(船)停泊
mope	v.n. 抑郁不乐，生闷气
morass	n. 沼泽地；困境；v. 陷入困境
moron	n. 极蠢之人，低能儿
motile	adj. 能动的，有自动力的
mottle	v. 使成杂色
mountebank	n. 江湖郎中，骗子
muddle	n. 混乱，迷惑
muddy	adj. 多泥的；浑浊的，不纯的
muggy	adj. (天气)闷热而潮湿的
mulct	n. 罚金；v. 处以罚金；诈取，诈骗
multifarious	adj. 多种的，各式各样的
multitude	n. 多数；大众，平民
muniments	n. 契据，房契
musty	adj. 发霉的，有霉臭的
mutilate	v. 残害；切断(肢体)
mutinous	adj. 叛变的
mutton	n. 羊肉
muzzy	adj. 头脑糊涂的
naivety	n. 天真，纯朴，幼稚
nasal	adj. 鼻的；有鼻音的
natation	n. 游泳，游泳术(swimming)
naysayer	n. 怀疑者，否定者
necessitous	adj. 贫困的；急需的
necropolis	n. 大墓地，公墓
nectar	n. 琼浆玉液；花蜜
nemesis	n. 报应，天罚
neonate	n. 初生儿
nephritis	n. 肾炎
nestle	v. 舒适地安顿；依偎
nestling	n. 尚未离巢的小鸟
nethermost	adj. 最低的，最下方的
neurosis	n. 精神病
niche	n. (放艺术品等的)壁龛；合适的位置
niggard	n. 吝啬鬼
niggling	adj. 琐碎的
nihilism	n. 虚无主义(生存无意义)；民粹主义(消灭一切旧体系建立新制度)
nimble	adj. 敏捷的，灵活的
nippers	n. 钳子，镊子
nipping	adj. 尖酸的；刺骨的
nonesuch	n. 无匹敌的人
nonpareil	adj.n. 无匹敌的(人)
noose	n. 绳套，绞索(刑)
notability	n. 著名，显著
nude	adj. 赤裸的；n. 裸体者
numerology	n. 数字命理学(通过数字算命)
numinous	adj. 庄严的，神圣的
numismatic	adj. 钱币学的
nuptial	adj. 婚姻的，婚礼的
nymph	n. 年轻女神；少女
oar	n. 桨；v. 划(船)(to row)
oatmeal	n. 燕麦片
obelisk	n. 方尖碑
oblation	n. 宗教的供品，祭品
observance	n. 遵守，奉行(法律、习俗)
obtrude	v. 突出；强加
occidental	n.adj. 西方(的)
ocular	adj. 眼睛的；视觉的
oddments	n. 残余物，零头
odoriferous	adj. 有气味的
olfactory	adj. 嗅觉的
oligarch	n. 寡头政治执政者
omnivorous	adj. 杂食的；兴趣杂的
onslaught	n. 猛攻，猛袭
onus	n. 义务，负担
ooze	v. 慢慢地流，渗出；(勇气)逐渐消失
opiate	n. 安眠药，鸦片制剂
optimization	n. 最优化
opus	n. 巨著；(尤指)音乐作品
oracular	adj. 神谕的；意义模糊的
